season,market,name,team_code,team_id,alias,division,current_division,wins,losses,ties
2006,"University at Buffalo, the State University of New York",Bulls,86,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,BUFF,1,D1,12,19,0
2006,U.S. Air Force Academy,Falcons,721,aa7af640-5762-4686-9181-39f7b8a8186e,AFA,1,D1,26,9,0
2006,"University of California, Berkeley",Golden Bears,107,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,CAL,1,D1,16,17,0
2006,Northern Kentucky University,Norse,505,ab9a1315-293f-42d3-a164-860216e81576,NKU,2,D1,24,9,0
2006,Siena College,Saints,639,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,SIE,1,D1,20,12,0
2006,College of William and Mary,Tribe,786,ad24b724-a11c-4dcd-a68c-67c53833ccb7,WM,1,D1,15,15,0
2006,Arizona State University,Sun Devils,28,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,ASU,1,D1,8,22,0
2006,La Salle University,Explorers,340,ad9a3e21-4585-4e35-8946-290fe4a16f18,LAS,1,D1,10,20,0
2006,"University of North Carolina, Asheville",Bulldogs,456,ad9fce12-6b1a-400c-bcbe-29d84d065fc0,UNCA,1,D1,12,19,0
2006,Oakland University,Golden Grizzlies,514,aeaaef0d-5238-414e-ac04-c55a22cba208,OAK,1,D1,19,14,0
2006,Drake University,Bulldogs,189,aed211c3-23a4-4188-ad70-22c6eba7d765,DRKE,1,D1,17,15,0
2006,Seton Hall University,Pirates,635,aef5e386-d8e8-460c-8014-3a2f090fd988,HALL,1,D1,13,16,0
2006,"Rutgers, State Univ of New Jersey, New Brunswick",Scarlet Knights,587,b03bb029-4499-4a2c-9074-5071ed360b21,RUTG,1,D1,10,19,0
2006,Presbyterian College,Blue Hose,1320,b06b63b0-20e6-4c78-bdcf-5feac3d7995e,PRE,2,D1,20,9,0
2006,St. Mary's College of California,Gaels,610,b18f34af-a7f1-4659-a2e5-fc11a31cd316,SMC,1,D1,17,15,0
2006,University of Oklahoma,Sooners,522,b2fda957-e15c-4fb2-8a13-6e58496f561e,OKLA,1,D1,16,15,0
2006,Bradley University,Braves,72,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,BRAD,1,D1,22,13,0
2006,"Fairleigh Dickinson University, Metropolitan",Knights,222,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,FDU,1,D1,14,16,0
2006,Morehead State University,Eagles,444,b7747a03-c85b-4de6-94bf-1b5b68553248,MORE,1,D1,12,18,0
2006,University of Louisville,Cardinals,367,b795ddbc-baab-4499-8803-52e8608520ab,LOU,1,D1,24,10,0
2006,"University of Tennessee, Knoxville",Volunteers,694,b827dbdf-230f-4916-9703-3bb9004e26eb,TENN,1,D1,24,11,0
2006,Missouri State University,Bears,669,b83de2df-328f-4303-9895-cdff048fb1ed,MOSU,1,D1,22,11,0
2006,Rice University,Owls,574,bb384635-c3a0-459a-8f13-fcd7177313e5,RICE,1,D1,16,16,0
2006,Butler University,Bulldogs,87,bdb7d7a4-45f8-4bf3-ab85-15488c451494,BUT,1,D1,29,7,0
2006,University of Michigan,Wolverines,418,bdc2561d-f603-4fab-a262-f1d2af462277,MICH,1,D1,22,13,0
2006,Montana State University-Bozeman,Bobcats,440,bec40585-b587-4548-93f5-b7c00b046aea,MTST,1,D1,11,19,0
2006,"California State University, Fullerton",Titans,97,c009914b-3303-4dee-b915-978aa48a31d0,CSF,1,D1,20,10,0
2006,Nicholls State University,Colonels,483,c0d19efd-d40c-4e32-8e90-dbcb28178b5d,NICH,1,D1,8,22,0
2006,University of Iowa,Hawkeyes,312,c10544de-e3bd-4776-ba2e-83df8c017fd1,IOWA,1,D1,17,14,0
2006,Samford University,Bulldogs,625,c13f96ba-c79c-452f-9f63-3b45fae4e543,SAM,1,D1,16,16,0
2006,Virginia Commonwealth University,Rams,740,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,VCU,1,D1,28,7,0
2006,Boise State University,Broncos,66,c1c54dbf-805c-47fc-a707-c803e94db2a4,BSU,1,D1,17,14,0
2006,St. John's University (New York),Red Storm,603,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,SJU,1,D1,16,15,0
2006,Southern Illinois University Edwardsville,Cougars,660,c206712f-2298-4279-b76c-834ac42809b9,SIUE,2,D1,15,12,0
2006,University of Alabama,Crimson Tide,8,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,ALA,1,D1,20,12,0
2006,Brigham Young University,Cougars,77,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,BYU,1,D1,25,9,0
2006,"Indiana University, Bloomington",Hoosiers,306,c3f0a8ce-af67-497f-a750-3b859376b20a,IND,1,D1,21,11,0
2006,Jackson State University,Tigers,314,c444e03b-d16b-48b2-9b18-823c2647d41d,JKST,1,D1,21,14,0
2006,University of North Carolina Wilmington,Seahawks,460,c54279f9-3028-4663-893a-7d22482f8098,UNCW,1,D1,7,22,0
2006,"University of Arkansas, Fayetteville",Razorbacks,31,c70c23c4-ab09-4797-a1af-792c848ab17f,ARK,1,D1,21,14,0
2006,Southern Utah University,Thunderbirds,667,c7116621-45ed-4ab1-9ad9-dee524120569,SUU,1,D1,16,14,0
